code,name,type,parent_code,city_class
0501717000,Lagonoy,municipality,0501700000,
0501717001,Agosais,barangay,0501717000,
0501717002,Agpo-Camagong-Tabog,barangay,0501717000,
0501717003,Amoguis,barangay,0501717000,
0501717004,Bocogan,barangay,0501717000,
0501717005,Balaton,barangay,0501717000,
0501717006,Binanuahan,barangay,0501717000,
0501717007,Burabod,barangay,0501717000,
0501717008,Cabotonan,barangay,0501717000,
0501717009,Dahat,barangay,0501717000,
0501717010,Del Carmen,barangay,0501717000,
0501717011,Ginorangan,barangay,0501717000,
0501717012,Gimagtocon,barangay,0501717000,
0501717013,Gubat,barangay,0501717000,
0501717014,Guibahoy,barangay,0501717000,
0501717015,Himanag,barangay,0501717000,
0501717016,Kinahologan,barangay,0501717000,
0501717017,Loho,barangay,0501717000,
0501717018,Manamoc,barangay,0501717000,
0501717019,Mangogon,barangay,0501717000,
0501717020,Mapid,barangay,0501717000,
0501717021,Olas,barangay,0501717000,
0501717022,Omalo,barangay,0501717000,
0501717023,Panagan,barangay,0501717000,
0501717024,Panicuan,barangay,0501717000,
0501717025,Pinamihagan,barangay,0501717000,
0501717026,San Francisco,barangay,0501717000,
0501717027,San Isidro,barangay,0501717000,
0501717028,San Isidro Sur,barangay,0501717000,
0501717029,San Isidro Norte,barangay,0501717000,
0501717030,San Rafael,barangay,0501717000,
0501717031,San Ramon,barangay,0501717000,
0501717032,San Roque,barangay,0501717000,
0501717033,San Sebastian,barangay,0501717000,
0501717034,San Vicente,barangay,0501717000,
0501717035,Santa Cruz,barangay,0501717000,
0501717036,Santa Maria,barangay,0501717000,
0501717037,Saripongpong,barangay,0501717000,
0501717038,Sipaco,barangay,0501717000,
0501718000,Libmanan,municipality,0501700000,
0501718001,Aslong,barangay,0501718000,
0501718002,Awayan,barangay,0501718000,
0501718003,Bagacay,barangay,0501718000,
0501718004,Bagadion,barangay,0501718000,
0501718005,Bagamelon,barangay,0501718000,
0501718006,Bagumbayan,barangay,0501718000,
0501718007,Bahao,barangay,0501718000,
0501718008,Bahay,barangay,0501718000,
0501718009,Beguito Nuevo,barangay,0501718000,
0501718010,Beguito Viejo,barangay,0501718000,
0501718012,Begajo Norte,barangay,0501718000,
0501718013,Begajo Sur,barangay,0501718000,
0501718014,Bikal,barangay,0501718000,
0501718015,Busak,barangay,0501718000,
0501718016,Caima,barangay,0501718000,
0501718017,Calabnigan,barangay,0501718000,
0501718018,Camambugan,barangay,0501718000,
0501718019,Cambalidio,barangay,0501718000,
0501718020,Candami,barangay,0501718000,
0501718021,Candato,barangay,0501718000,
0501718022,Cawayan,barangay,0501718000,
0501718023,Concepcion,barangay,0501718000,
0501718024,Cuyapi,barangay,0501718000,
0501718025,Danawan,barangay,0501718000,
0501718026,Duang Niog,barangay,0501718000,
0501718027,Handong,barangay,0501718000,
0501718028,Ibid,barangay,0501718000,
0501718029,Inalahan,barangay,0501718000,
0501718030,Labao,barangay,0501718000,
0501718031,Libod I,barangay,0501718000,
0501718032,Libod II,barangay,0501718000,
0501718033,Loba-loba,barangay,0501718000,
0501718035,Mabini,barangay,0501718000,
0501718036,Malansad Nuevo,barangay,0501718000,
0501718037,Malansad Viejo,barangay,0501718000,
0501718038,Malbogon,barangay,0501718000,
0501718039,Malinao,barangay,0501718000,
0501718040,Mambalite,barangay,0501718000,
0501718041,Mambayawas,barangay,0501718000,
0501718042,Mambulo Nuevo,barangay,0501718000,
0501718043,Mambulo Viejo,barangay,0501718000,
0501718044,Mancawayan,barangay,0501718000,
0501718045,Mandacanan,barangay,0501718000,
0501718046,Mantalisay,barangay,0501718000,
0501718047,Padlos,barangay,0501718000,
0501718048,Pag-Oring Nuevo,barangay,0501718000,
0501718049,Pag-Oring Viejo,barangay,0501718000,
0501718050,Palangon,barangay,0501718000,
0501718051,Palong,barangay,0501718000,
0501718052,Patag,barangay,0501718000,
0501718053,Planza,barangay,0501718000,
0501718054,Poblacion,barangay,0501718000,
0501718055,Potot,barangay,0501718000,
0501718056,Puro-Batia,barangay,0501718000,
0501718057,Rongos,barangay,0501718000,
0501718058,Salvacion,barangay,0501718000,
0501718060,San Isidro,barangay,0501718000,
0501718061,San Juan,barangay,0501718000,
0501718062,San Pablo,barangay,0501718000,
0501718063,San Vicente,barangay,0501718000,
0501718064,Sibujo,barangay,0501718000,
0501718065,Sigamot,barangay,0501718000,
0501718066,Station-Church Site,barangay,0501718000,
0501718067,Taban-Fundado,barangay,0501718000,
0501718068,Tampuhan,barangay,0501718000,
0501718069,Tanag,barangay,0501718000,
0501718070,Tarum,barangay,0501718000,
0501718071,Tinalmud Nuevo,barangay,0501718000,
0501718072,Tinalmud Viejo,barangay,0501718000,
0501718073,Tinangkihan,barangay,0501718000,
0501718074,Udoc,barangay,0501718000,
0501718075,Umalo,barangay,0501718000,
0501718076,Uson,barangay,0501718000,
